Trip ID,Route ID,Service Cost,Construction Cost,Timestamp,Average Speed,Average Check In,Average Check Out,Average Load
1,10-D,5527.946206767856,12853.658536585366,06:00:00,80,40.3,37.96666666666667,2.3333333333333335
2,10-D,5527.946206767856,12853.658536585366,07:00:00,80,34.7,32.36666666666667,2.3333333333333335
3,10-D,5527.946206767856,12853.658536585366,08:00:00,80,39.43333333333333,37.1,2.3333333333333335
4,10-D,5527.946206767856,12853.658536585366,09:00:00,80,32.06666666666667,29.733333333333334,2.3333333333333335
5,10-D,5527.946206767856,12853.658536585366,10:00:00,80,33.93333333333333,31.6,2.3333333333333335
6,10-D,5527.946206767856,12853.658536585366,11:00:00,80,33.233333333333334,30.9,2.3333333333333335
7,10-D,5527.946206767856,12853.658536585366,12:00:00,80,31.7,29.366666666666667,2.3333333333333335
8,10-D,5527.946206767856,12853.658536585366,13:00:00,80,40.0,37.666666666666664,2.3333333333333335
9,10-D,5527.946206767856,12853.658536585366,14:00:00,80,37.8,35.46666666666667,2.3333333333333335
10,10-D,5527.946206767856,12853.658536585366,15:00:00,80,31.566666666666666,29.233333333333334,2.3333333333333335
11,10-D,5527.946206767856,12853.658536585366,16:00:00,80,33.46666666666667,31.133333333333333,2.3333333333333335
12,10-D,5527.946206767856,12853.658536585366,17:00:00,80,33.7,31.366666666666667,2.3333333333333335
13,10-U,5513.974699865419,12524.39024390244,06:00:00,80,28.37037037037037,25.77777777777778,2.5925925925925926
14,10-U,5513.974699865419,12524.39024390244,07:00:00,80,32.48148148148148,29.88888888888889,2.5925925925925926
15,10-U,5513.974699865419,12524.39024390244,08:00:00,80,35.074074074074076,32.48148148148148,2.5925925925925926
16,10-U,5513.974699865419,12524.39024390244,09:00:00,80,33.592592592592595,31.0,2.5925925925925926
17,10-U,5513.974699865419,12524.39024390244,10:00:00,80,37.074074074074076,34.48148148148148,2.5925925925925926
18,10-U,5513.974699865419,12524.39024390244,11:00:00,80,38.96296296296296,36.370370370370374,2.5925925925925926
19,10-U,5513.974699865419,12524.39024390244,12:00:00,80,27.666666666666668,25.074074074074073,2.5925925925925926
20,10-U,5513.974699865419,12524.39024390244,13:00:00,80,33.925925925925924,31.333333333333332,2.5925925925925926
21,10-U,5513.974699865419,12524.39024390244,14:00:00,80,29.14814814814815,26.555555555555557,2.5925925925925926
22,10-U,5513.974699865419,12524.39024390244,15:00:00,80,35.81481481481482,33.22222222222222,2.5925925925925926
23,10-U,5513.974699865419,12524.39024390244,16:00:00,80,38.111111111111114,35.51851851851852,2.5925925925925926
